2026-02-10 21:54:12,583 INFO    MainThread:15338 [wandb_setup.py:_flush():81] Current SDK version is 0.24.2
2026-02-10 21:54:12,584 INFO    MainThread:15338 [wandb_setup.py:_flush():81] Configure stats pid to 15338
2026-02-10 21:54:12,584 INFO    MainThread:15338 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-02-10 21:54:12,584 INFO    MainThread:15338 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/apple/Desktop/Classes/2026 Spring/NLP/Homeworks/HW1/hw1/word2vec/wandb/run-20260210_215412-ai4x49au/logs/debug.log
2026-02-10 21:54:12,584 INFO    MainThread:15338 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/apple/Desktop/Classes/2026 Spring/NLP/Homeworks/HW1/hw1/word2vec/wandb/run-20260210_215412-ai4x49au/logs/debug-internal.log
2026-02-10 21:54:12,584 INFO    MainThread:15338 [wandb_init.py:init():844] calling init triggers
2026-02-10 21:54:12,584 INFO    MainThread:15338 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'num_epochs': 20, 'learning_rate': 0.15, 'batch_size': 40, 'vocab_size': 5001, 'embedding_dim': 64, '_wandb': {}}
2026-02-10 21:54:12,584 INFO    MainThread:15338 [wandb_init.py:init():892] starting backend
2026-02-10 21:54:12,832 INFO    MainThread:15338 [wandb_init.py:init():895] sending inform_init request
2026-02-10 21:54:12,864 INFO    MainThread:15338 [wandb_init.py:init():903] backend started and connected
2026-02-10 21:54:12,866 INFO    MainThread:15338 [wandb_init.py:init():973] updated telemetry
2026-02-10 21:54:12,867 INFO    MainThread:15338 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-02-10 21:54:13,425 INFO    MainThread:15338 [wandb_init.py:init():1042] starting run threads in backend
2026-02-10 21:54:13,462 INFO    MainThread:15338 [wandb_run.py:_console_start():2529] atexit reg
2026-02-10 21:54:13,462 INFO    MainThread:15338 [wandb_run.py:_redirect():2377] redirect: wrap_raw
2026-02-10 21:54:13,462 INFO    MainThread:15338 [wandb_run.py:_redirect():2446] Wrapping output streams.
2026-02-10 21:54:13,462 INFO    MainThread:15338 [wandb_run.py:_redirect():2469] Redirects installed.
2026-02-10 21:54:13,463 INFO    MainThread:15338 [wandb_init.py:init():1082] run started, returning control to user process
2026-02-10 21:56:17,755 INFO    wandb-AsyncioManager-main:15338 [service_client.py:_forward_responses():94] Reached EOF.
2026-02-10 21:56:17,755 INFO    wandb-AsyncioManager-main:15338 [mailbox.py:close():154] Closing mailbox, abandoning 1 handles.
